#NAME	Diet
Urial2	Herbivores
Okapi1	Herbivores
Okapi2	Herbivores
BlackLemur	Omnivores
BigHornW3	Herbivores
Gazelle3	Herbivores
BlackRhino1	Herbivores
BaboonW	Omnivores
Chimp1	Omnivores
SpgbkW	Herbivores
BushDog1	Carnivores
Lion2	Carnivores
Armadillo	Carnivores
Lion1	Carnivores
Squirrel	Omnivores
Hyena2	Carnivores
Colobus	Herbivores
Horse1	Herbivores
Kroo3	Herbivores
BigHornSD	Herbivores
Giraffe2	Herbivores
RTLemur	Omnivores
HyraxSTL	Herbivores
Orang1	Herbivores
HyraxSD	Herbivores
Capybara	Herbivores
ZebraSTL1	Herbivores
Rabbit	Herbivores
BaboonSTL	Omnivores
AfElphSD3	Herbivores
Chimp2	Omnivores
GorillaSTL	Herbivores
PolarBr2	Carnivores
Callimicos	Omnivores
Saki	Omnivores
VWPig	Herbivores
SpecBr2	Herbivores
BlackBr2	Omnivores
